# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec 28 12:14:09 UTC 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.050386 0.60000 10.00000 0.5539437532 2.2868967055    0.554 -1.369  3.5429  4.673    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.33e-15      0.00 6.334e-01 3.185e-01 8.651e-03 2.334e-03 2.117e-02 -1.000 4.812e-02 8.191 9.092 10.417 7.956
0.050386 0.60000 10.00000 0.6000000238 2.3211213258    0.600 -1.217  3.5649  4.645    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-15      0.00 6.367e-01 3.155e-01 8.581e-03 2.316e-03 2.101e-02 -1.000 4.775e-02 7.813 8.562 9.740 7.486
0.050386 0.60000 10.00000 0.6499999762 2.3520353107    0.650 -1.046  3.5939  4.624    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.83e-15      0.00 6.400e-01 3.126e-01 8.509e-03 2.297e-03 2.084e-02 -1.000 4.736e-02 7.385 7.919 8.899 6.941
0.050386 0.60000 10.00000 0.7000000477 2.3779267258    0.700 -0.877  3.6235  4.606    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.92e-15      0.00 6.432e-01 3.098e-01 8.441e-03 2.279e-03 2.068e-02 -1.000 4.696e-02 6.963 7.299 8.108 6.419
0.050386 0.60000 10.00000 0.7078294754 2.3816019223    0.708 -0.849  3.6292  4.606    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 6.436e-01 3.094e-01 8.415e-03 2.276e-03 2.066e-02 -1.000 4.692e-02 6.892 7.194 7.974 6.333
0.050386 0.60000 10.00000 0.7343175411 2.3933701859    0.734 -0.755  3.6479  4.602    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-14      0.00 6.450e-01 3.082e-01 8.329e-03 2.267e-03 2.059e-02 -1.000 4.677e-02 6.658 6.848 7.540 6.045
0.050386 0.60000 10.00000 0.7500000000 2.3998889087    0.750 -0.701  3.6585  4.599    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-14      0.00 6.458e-01 3.075e-01 8.279e-03 2.262e-03 2.056e-02 -1.000 4.673e-02 6.521 6.655 7.301 5.883
0.050386 0.60000 10.00000 0.7622089982 2.4047508238    0.762 -0.664  3.6634  4.589    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 6.470e-01 3.065e-01 8.254e-03 2.255e-03 2.050e-02 -1.000 4.658e-02 6.429 6.539 7.166 5.781
0.050386 0.60000 10.00000 0.7896863222 2.4150632731    0.789 -0.580  3.6744  4.565    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 6.496e-01 3.041e-01 8.198e-03 2.240e-03 2.036e-02 -1.000 4.626e-02 6.221 6.284 6.870 5.557
0.050386 0.60000 10.00000 0.7975246906 2.4178556758    0.797 -0.557  3.6775  4.558    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 6.503e-01 3.035e-01 8.182e-03 2.236e-03 2.032e-02 -1.000 4.618e-02 6.162 6.213 6.788 5.494
0.050386 0.60000 10.00000 0.8144935966 2.4236896232    0.814 -0.504  3.6843  4.542    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 6.521e-01 3.019e-01 8.144e-03 2.226e-03 2.023e-02 -1.000 4.597e-02 6.031 6.057 6.609 5.356
0.050386 0.60000 10.00000 0.8370735645 2.4310324517    0.836 -0.435  3.6931  4.520    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 6.544e-01 2.999e-01 8.096e-03 2.213e-03 2.011e-02 -1.000 4.570e-02 5.857 5.855 6.379 5.176
0.050386 0.60000 10.00000 0.8450493813 2.4335185222    0.844 -0.410  3.6961  4.511    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 6.551e-01 2.992e-01 8.079e-03 2.209e-03 2.007e-02 -1.000 4.560e-02 5.796 5.785 6.300 5.114
0.050386 0.60000 10.00000 0.8559556603 2.4368319311    0.855 -0.376  3.7001  4.499    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-14      0.00 6.564e-01 2.981e-01 8.053e-03 2.201e-03 2.001e-02 -1.000 4.552e-02 5.711 5.687 6.191 5.027
0.050386 0.60000 10.00000 0.8794504404 2.4436497934    0.878 -0.303  3.7082  4.470    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 6.590e-01 2.959e-01 7.998e-03 2.186e-03 1.987e-02 -1.000 4.516e-02 5.528 5.483 5.964 4.842
0.050386 0.60000 10.00000 0.8925739527 2.4472788908    0.892 -0.263  3.7124  4.453    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-14      0.00 6.603e-01 2.947e-01 7.969e-03 2.178e-03 1.980e-02 -1.000 4.501e-02 5.427 5.371 5.841 4.740
0.050386 0.60000 10.00000 0.8971011639 2.4485025271    0.896 -0.249  3.7138  4.446    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-14      0.00 6.609e-01 2.942e-01 7.957e-03 2.175e-03 1.978e-02 -1.000 4.495e-02 5.391 5.333 5.798 4.705
0.050386 0.60000 10.00000 0.9090615511 2.4516679171    0.908 -0.211  3.7173  4.428    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-14      0.00 6.623e-01 2.929e-01 7.927e-03 2.167e-03 1.970e-02 -1.000 4.483e-02 5.298 5.232 5.689 4.612
0.050386 0.60000 10.00000 0.9203932881 2.4545798167    0.919 -0.176  3.7203  4.411    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.42e-14      0.00 6.636e-01 2.917e-01 7.901e-03 2.160e-03 1.964e-02 -1.000 4.468e-02 5.211 5.137 5.586 4.524
0.050386 0.60000 10.00000 0.9313297868 2.4573130159    0.930 -0.143  3.7230  4.393    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.95e-14      0.00 6.648e-01 2.907e-01 7.877e-03 2.154e-03 1.958e-02 -1.000 4.455e-02 5.127 5.048 5.491 4.441
0.050386 0.60000 10.00000 0.9400985241 2.4594517141    0.939 -0.116  3.7249  4.378    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-14      0.00 6.656e-01 2.899e-01 7.860e-03 2.149e-03 1.954e-02 -1.000 4.449e-02 5.060 4.977 5.415 4.375
0.050386 0.60000 10.00000 0.9419784546 2.4599042729    0.941 -0.110  3.7253  4.375    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.51e-14      0.00 6.658e-01 2.897e-01 7.855e-03 2.148e-03 1.953e-02 -1.000 4.448e-02 5.046 4.962 5.399 4.360
0.050386 0.60000 10.00000 0.9511708021 2.4620875705    0.950 -0.081  3.7272  4.357    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-14      0.00 6.667e-01 2.890e-01 7.839e-03 2.144e-03 1.949e-02 -1.000 4.433e-02 4.971 4.884 5.316 4.286
0.050386 0.60000 10.00000 0.9650225043 2.4652873507    0.964 -0.033  3.7303  4.328    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -8.1e-14      0.00 6.664e-01 2.893e-01 7.846e-03 2.146e-03 1.951e-02 -1.000 4.438e-02 4.853 4.759 5.184 4.168
0.050386 0.60000 10.00000 0.9688025713 2.4661423008    0.968 -0.020  3.7311  4.320    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.42e-14      0.00 6.660e-01 2.895e-01 7.853e-03 2.147e-03 1.953e-02 -1.000 4.442e-02 4.820 4.725 5.148 4.136
0.050386 0.60000 10.00000 0.9768763185 2.4679429107    0.976  0.009  3.7325  4.301    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.15e-14      0.00 6.650e-01 2.905e-01 7.876e-03 2.154e-03 1.959e-02 -1.000 4.453e-02 4.748 4.651 5.071 4.065
0.050386 0.60000 10.00000 0.9842383265 2.4695552108    0.983  0.036  3.7336  4.281    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.92e-14      0.00 6.640e-01 2.913e-01 7.899e-03 2.160e-03 1.964e-02 -1.000 4.465e-02 4.680 4.581 4.999 3.998
0.050386 0.60000 10.00000 0.9876232743 2.4702872537    0.987  0.049  3.7340  4.271    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-13      0.00 6.635e-01 2.918e-01 7.911e-03 2.163e-03 1.967e-02 -1.000 4.472e-02 4.648 4.548 4.965 3.966
0.050386 0.60000 10.00000 0.9888958335 2.4705609725    0.988  0.054  3.7341  4.267    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 6.633e-01 2.920e-01 7.915e-03 2.164e-03 1.968e-02 -1.000 4.475e-02 4.636 4.536 4.952 3.954
0.050386 0.60000 10.00000 0.9935447574 2.4715540742    0.993  0.072  3.7343  4.251    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 6.621e-01 2.930e-01 7.941e-03 2.171e-03 1.974e-02 -1.000 4.490e-02 4.589 4.489 4.905 3.907
0.050386 0.60000 10.00000 0.9950438738 2.4718720405    0.994  0.078  3.7343  4.246    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 6.616e-01 2.934e-01 7.951e-03 2.174e-03 1.977e-02 -1.000 4.496e-02 4.574 4.474 4.889 3.892
0.050386 0.60000 10.00000 1.0011515617 2.4731561843    1.000  0.102  3.7347  4.227    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-13      0.00 6.605e-01 2.944e-01 7.974e-03 2.181e-03 1.983e-02 -1.000 4.511e-02 4.515 4.415 4.829 3.834
